"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
8,"1","2024-04-05T08:07:15.662049Z",203,32.971,"after installation , which was very simple .... i downloaded any updated software from the creative website , before i downloaded any music .","1","2024-04-05T08:07:15.662049Z"
9,"1","2024-04-05T08:07:24.699753Z",204,5.432,"no one has ever come to my house and noticed ' diaper odor . '","1","2024-04-05T08:07:24.699753Z"
10,"1","2024-04-05T08:07:32.363400Z",205,3.315,"it is hot enough to be annoying .","0","2024-04-05T08:07:32.363400Z"
11,"1","2024-04-05T08:07:42.569377Z",206,7.609,"the nomad explorer provide most of the functionality offered by 3rd party programs like notmad . ","1","2024-04-05T08:07:42.569377Z"
12,"1","2024-04-05T08:07:47.577745Z",207,2.929,"this program enables the user to batch convert and convert audio files from one format to another .","1","2024-04-05T08:07:47.577745Z"
13,"1","2024-04-05T08:07:52.857330Z",208,3.322,"the touch buttons are textured so that your finger sdon 't slip which was very thoughtful .","1","2024-04-05T08:07:52.857330Z"
14,"1","2024-04-05T08:08:00.904611Z",209,3.201,"i 've since gotten the linksys modem ( befcmu10 ) and stacked it with the wrt54g router and it works fantastic ! ! !","1","2024-04-05T08:08:00.904611Z"
15,"1","2024-04-05T08:08:05.999882Z",210,2.985,"you 'll love it !","1","2024-04-05T08:08:05.999882Z"
16,"1","2024-04-05T08:08:11.277866Z",211,2.919,"the total price with delivery ( free shipping ) was $ 135 !","1","2024-04-05T08:08:11.277866Z"
17,"1","2024-04-05T08:09:48.021624Z",212,11.732,"there is no way the battery supplied lasts 14 hours ! ","0","2024-04-05T08:09:48.021624Z"
18,"1","2024-04-05T08:09:53.976413Z",213,3.183,"3- it is slow , if you keep the original configuration and progs ( why 'd u buy it then ? ! ) it 'll run smoothly , but still slower than most other coloured-screen nokias .","0","2024-04-05T08:09:53.976413Z"
19,"1","2024-04-05T08:09:59.809551Z",214,3.196,"the zoom lens unit feels fragile and it is worth buying a good camera bag if you are going put to carry it round a lot . ","0","2024-04-05T08:09:59.809551Z"
20,"1","2024-04-05T08:10:10.934596Z",215,3.231,"- great value 40gb vs 10 gb ipod for the price ","1","2024-04-05T08:10:10.935596Z"
21,"1","2024-04-05T08:10:16.375479Z",216,3.183,"this is a very light phone - a little less than 3 oz , with long battery life ( not as long as the new polymer technology ) . ","1","2024-04-05T08:10:16.375479Z"
22,"1","2024-04-05T08:10:24.335241Z",217,3.2,"this dvd play is basicly junk . ","0","2024-04-05T08:10:24.335241Z"
23,"1","2024-04-05T08:10:57.996454Z",218,5.873,"one of my favorite features about the player is its ability to sync to windows media player .","1","2024-04-05T08:10:57.996454Z"
24,"1","2024-04-05T08:11:07.171848Z",219,4.746,"the design and construction are excellent -- as is the legendary quality of the nikon optics . ","1","2024-04-05T08:11:07.171848Z"
25,"1","2024-04-05T08:11:14.049050Z",220,2.988,"so i e-mailed the online tech support with that simple question , and got a reply which was totally unresponsive ( it looked as though they didn 't actually read the e-mail and just sent back a few boilerplate paragraphs ) .","0","2024-04-05T08:11:14.049050Z"
